content_id,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-6451309518266745024,-4110354420726924665,-6451309518266745024,3353902017498793780,5274322067107287523,1485652648052127324
-4110354420726924665,-4110354420726924665,-6451309518266745024,3353902017498793780,5274322067107287523,1485652648052127324
-7292285110016212249,-7292285110016212249,1220948775534529013,-2489051066377567114,8926283897590637985,7845570490247450966
-6151852268067518688,-6151852268067518688,8298709454703868984,4877833951599818487,8596997246990922861,-7586203274767893481
2448026894306402386,2448026894306402386,1266958185239582088,-692972306229904743,-2273517184910006534,8605423472891112686
-2826566343807132236,-2826566343807132236,4463025528374352465,-4374331682165863764,-3528088210002754978,-6725796505137573953
-2148899391355011268,-2148899391355011268,-205193648629294862,2727743992157210358,5929055844564382383,-1868297195590431285
4119190424078847945,4463025528374352465,2916072977192006313,5410603488837817052,1266958185239582088,8631616594020837056
-7926018713416777892,1266958185239582088,-1868297195590431285,2900029983899283273,-3810375613673461625,2255603060224026824
3353902017498793780,3353902017498793780,-4110354420726924665,-6451309518266745024,1485652648052127324,5274322067107287523
-9157338616628196758,-9157338616628196758,2617330491231854367,123378787151399958,1012456848389051365,-5082274522455747241
1805789466376069146,1805789466376069146,5199666313044493096,-2081760549863309770,-4864344772765973009,-1249436522568155938
-2081760549863309770,-2081760549863309770,1805789466376069146,5199666313044493096,5062670850994683718,5619251370090681244
-5170198873410718233,-5170198873410718233,6873454157736399518,2639926854188906104,7963184191158282052,5934557073194045393
-3367778232969996503,-3367778232969996503,-8239286201029609369,9178250635927683,-7033990154815318757,-3739000323288188282
4988225165850707692,4988225165850707692,8736111317960965711,7664140604181040222,-5973686110278905367,-3537777320523757545
-5917314377186856799,-5917314377186856799,6157037646878010131,-1669098707776725430,-5636731245639685654,-7565625515044903967
6157037646878010131,6157037646878010131,-5917314377186856799,-5636731245639685654,-1669098707776725430,-7565625515044903967
6023609667389715259,6023609667389715259,3611701510490148233,-6035458164887182128,-4110354420726924665,-6451309518266745024
7905485530310717815,7905485530310717815,-7358932766266901263,-7358932766266901263.1,8550670510357310628,-4374331682165863764
8194079557551008273,8194079557551008273,1266958185239582088,-2273517184910006534,-1868297195590431285,-3528088210002754978
-1672166631728511207,-1672166631728511207,5847540986736720765,-2167839778474325326,123378787151399958,-321691855821364131
-4374331682165863764,-4374331682165863764,-7358932766266901263,8550670510357310628,-7358932766266901263.1,3075564241645350154
5714314286511882372,-4615179238096674750,6162786478796754684,9213260650272029784,8169351562924200055,-8968101771604200516
-8141818108252244664,-8141818108252244664,-7009536306337650657,5779887740609126631,8869575677747285539,6341647533150019811
-8939172344092554931,-8939172344092554931,8545647269051113523,3750772607644674028,-4833307637594287163,-8520302351158933500
-1591454024897803197,-1591454024897803197,8968837261991914049,4785499183287168509,8302949268716967655,3293246847422795557
-6874540813378776198,-6874540813378776198,5842191581670322333,6097677219931837830,-8187220755213888616,1981046186743381313
-3173020603774823976,-3173020603774823976,4788854083489560153,1649752043999819668,-7992053163122498177,2930191803881821526
-9107331682787867601,-9107331682787867601,-605114438206384896,3035329611795434601,-2855910583928922225,5842191581670322333
-1021685224930603833,231281690254211527,-5255285107284514595,-5082274522455747241,-8968101771604200516,-6761163882540291832
1392715980907132808,1392715980907132808,1266958185239582088,-1868297195590431285,-5464698687596686623,-3810375613673461625
-6142462826726347616,-6142462826726347616,-1868297195590431285,1266958185239582088,-3810375613673461625,2255603060224026824
2255603060224026824,1266958185239582088,-1868297195590431285,2900029983899283273,-3810375613673461625,5274322067107287523
3037840448416371691,3037840448416371691,1266958185239582088,-1868297195590431285,-6941293448141178017,6419848550542384295
7767869406844505704,7767869406844505704,-4218676349553328084,-5829979886567267504,-8942026248671582808,-5179258585851879449
-7202774608580336956,-7202774608580336956,-6792965795755857419,-486686184692655504,1805849336099641652,7508152369854945139
5822211783543822544,5822211783543822544,764116021156146784,1990052153136096105,7851022564818849560,-96719740408441346
6152652267138213180,6152652267138213180,-6308850935767965758,-6249065792190816357,-6728844082024523434,1592600391233958243
9032993320407723266,9032993320407723266,5817939718364925129.1,5817939718364925129,2628816849077589497,-7766518409111702133
7520301770873472812,-5679515279292214033,-42126282997118624,1061238072586805321,2229625391864201918,-4070599188332885701
-5715266554592745669,-5715266554592745669,4644672909721737325,-5881946480525580860,3296513714237850943,1920899299418335515
8545647269051113523,8545647269051113523,-8939172344092554931,3750772607644674028,-8520302351158933500,-4833307637594287163
668505019835540303,668505019835540303,444378495316508239,-3883591366197282127,2220561310072186802,3322348437880079228
-6727393385193911938,-6727393385193911938,4089568303716665454,-4994468824009200256,-7529178973676767391,9136323715291453594
7351002593233940239,7351002593233940239,2280365999288629014,-8734181034726403477,-8773118241761372618,7707640607626518697
1083474613819325601,-377975173223377441,-9128652074338368262,638282658987724754,-8068727428160395745,2220561310072186802
-4994468824009200256,-4994468824009200256,-9089854794058353436,-434149774629603391,4089568303716665454,-7895534832212398576
-4571929941432664145,-4571929941432664145,2220561310072186802,-8473322535064919980,-8068727428160395745,5250363310227021277
5441215535748592870,5441215535748592870,-2148899391355011268,-1868297195590431285,1266958185239582088,8084284001249507595
7359520440231676934,-1418355038507506357,2448026894306402386,-692972306229904743,-3528088210002754978,-5043294260151549400
4774970687540378081,4774970687540378081,9060231864899459154,6754313450809254838,3155118717275463069,-7002558676365724983
6102826385978742696,6102826385978742696,6186282670048283099,-8704908797766843570,-7342604649736473979,7616472242818646827
809601605585939618,-6133746337603876146,-8962700386317589038,738761744030347929,-6499865726739947794.1,-6499865726739947794
8742078838645536785,8742078838645536785,162771765556771108,1449689399273695199,3035329611795434601,1829180586132834070
-1802980374508081539,-1802980374508081539,1128840733277618400,-7051470020148066326,4644672909721737325,3779639438468810958
-6195775145989617417,1933229167501870037,-1590585250246572231,-2176468683077766369,3149164017776669829,-8529522981244750831
-2176468683077766369,-2176468683077766369,1487738553913510703,3035329611795434601,511891900317865118,3320201327008235211
7973573994178035769,7973573994178035769.1,7973573994178035769,1331356827163029243,-686679025328909441,2834072258350675251
7973573994178035769,7973573994178035769.1,7973573994178035769,1331356827163029243,-686679025328909441,2834072258350675251
